;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
248;CADASTRO;Acompanhamento de Programas;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
249;CADASTRO;Acompanhamento de Programas;Redistribuir;Redistribuir;;;;;;;
250;CADASTRO;Acompanhamento de Programas;Copiar cadastro;Copiar cadastro;;;;;;;
251;CADASTRO;Acompanhamento de Programas;Copiar documento;Copiar documento;;;;;;;
252;CADASTRO;Acompanhamento de Programas;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
253;CADASTRO;Acompanhamento de Programas;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
254;CADASTRO;Acompanhamento de Programas;Agenda;Abrir agenda;;;;;;;
255;CADASTRO;Acompanhamento de Programas;Compromisso;Cadastrar compromisso;;;;;;;
256;CADASTRO;Acompanhamento de Programas;Abas;Testar todas as abas, campo a campo;;;;;;;
257;CADASTRO;Acompanhamento de Programas;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
258;CADASTRO;Acompanhamento de Programas;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
259;CADASTRO;Acompanhamento de Programas;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
260;CADASTRO;Acompanhamento de Programas;Minimizar através do ícone;Minimizar tela;;;;;;;
261;CADASTRO;Acompanhamento de Programas;Restaurar janela minimizada;Maximizar tela;;;;;;;
262;CADASTRO;Acompanhamento de Programas;Fechar através do ícone;Fechar tela;;;;;;;
263;CADASTRO;Acompanhamento de Programas;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
264;CADASTRO;Acompanhamento de Programas;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
265;CADASTRO;Processos de primeiro grau;Cadastrar;Registrar um processo de primeiro grau;;;;;;;
266;CADASTRO;Processos de primeiro grau;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
267;CADASTRO;Processos de primeiro grau;Abrir cadastro;Abrir cadastro;;;;;;;
268;CADASTRO;Processos de primeiro grau;Abrir pasta digital;Abrir pasta digital;;;;;;;
269;CADASTRO;Processos de primeiro grau;Emitir documento;Emitir documento;;;;;;;
270;CADASTRO;Processos de primeiro grau;Consulta básica;Consultar cadastro;;;;;;;
271;CADASTRO;Processos de primeiro grau;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
272;CADASTRO;Processos de primeiro grau;Redistribuir;Redistribuir;;;;;;;
273;CADASTRO;Processos de primeiro grau;Redistribuir na próxima intimação;Redistribuir na próxima intimação;;;;;;;
274;CADASTRO;Processos de primeiro grau;Colaboração especial;Utilizar a funcionalidade;;;;;;;
275;CADASTRO;Processos de primeiro grau;Promotoria de origem;Utilizar a funcionalidade;;;;;;;
276;CADASTRO;Processos de primeiro grau;Copiar cadastro;Copiar cadastro;;;;;;;
277;CADASTRO;Processos de primeiro grau;Copiar documento;Copiar documento;;;;;;;
278;CADASTRO;Processos de primeiro grau;Evoluir;Evoluir;;;;;;;
279;CADASTRO;Processos de primeiro grau;Verificar o nível de sigilo após evolução;Verificar se o nível de sigilo foi mantido na evolução;;;;;;;
280;CADASTRO;Processos de primeiro grau;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
281;CADASTRO;Processos de primeiro grau;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
282;CADASTRO;Processos de primeiro grau;Atualizar página;Utilizar a funcionalidade;;;;;;;
283;CADASTRO;Processos de primeiro grau;Tela cheia;Utilizar a funcionalidade;;;;;;;
284;CADASTRO;Processos de primeiro grau;Visualizar pasta digital do TJ;Visualizar a pasta digital do TJ;;;;;;;
285;CADASTRO;Processos de primeiro grau;Agenda;Abrir agenda;;;;;;;
286;CADASTRO;Processos de primeiro grau;Senha de acesso;Gerar senha para acesso ao cadastro via web;;;;;;;
287;CADASTRO;Processos de primeiro grau;Compromisso;Cadastrar compromisso;;;;;;;
288;CADASTRO;Processos de primeiro grau;Gerar protocoliza inicial;Gerar movimentação de protocoliza inicial;;;;;;;
289;CADASTRO;Processos de primeiro grau;Auditoria de acessos;Auditar acessos;;;;;;;
290;CADASTRO;Processos de primeiro grau;Abas;Testar todas as abas, campo a campo;;;;;;;
291;CADASTRO;Processos de primeiro grau;Quebra de texto no campo objeto da ação;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
292;CADASTRO;Processos de primeiro grau;Limite do campo objeto da ação;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
293;CADASTRO;Processos de primeiro grau;Barra de rolagem no campo objeto da ação;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
294;CADASTRO;Processos de primeiro grau;Minimizar através do ícone;Minimizar tela;;;;;;;
295;CADASTRO;Processos de primeiro grau;Restaurar janela minimizada;Maximizar tela;;;;;;;
296;CADASTRO;Processos de primeiro grau;Fechar através do ícone;Fechar tela;;;;;;;
297;CADASTRO;Processos de primeiro grau;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
298;CADASTRO;Processos de primeiro grau;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
299;CADASTRO;Processos de segundo grau;Cadastrar;Registrar um processo de segundo grau;;;;;;;
300;CADASTRO;Processos de segundo grau;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
301;CADASTRO;Processos de segundo grau;Abrir cadastro;Abrir cadastro;;;;;;;
302;CADASTRO;Processos de segundo grau;Abrir pasta digital;Abrir pasta digital;;;;;;;
303;CADASTRO;Processos de segundo grau;Emitir documento;Emitir documento;;;;;;;
304;CADASTRO;Processos de segundo grau;Consulta básica;Consultar cadastro;;;;;;;
305;CADASTRO;Processos de segundo grau;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
306;CADASTRO;Processos de segundo grau;Redistribuir;Redistribuir;;;;;;;
307;CADASTRO;Processos de segundo grau;Devolver à procuradoria;Devolver à procuradoria;;;;;;;
308;CADASTRO;Processos de segundo grau;Copiar cadastro;Copiar cadastro;;;;;;;
309;CADASTRO;Processos de segundo grau;Copiar documento;Copiar documento;;;;;;;
310;CADASTRO;Processos de segundo grau;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
311;CADASTRO;Processos de segundo grau;Atualizar página;Utilizar a funcionalidade;;;;;;;
312;CADASTRO;Processos de segundo grau;Tela cheia;Utilizar a funcionalidade;;;;;;;
313;CADASTRO;Processos de segundo grau;Visualizar pasta digital do TJ;Visualizar a pasta digital do TJ;;;;;;;
314;CADASTRO;Processos de segundo grau;Analisar dados;Analisar dados e distribuir individualmente;;;;;;;
315;CADASTRO;Processos de segundo grau;Agenda;Abrir agenda;;;;;;;
316;CADASTRO;Processos de segundo grau;Compromisso;Cadastrar compromisso;;;;;;;
317;CADASTRO;Processos de segundo grau;Auditoria de acessos;Auditar acessos;;;;;;;
318;CADASTRO;Processos de segundo grau;Visualizar pasta digital do TJ do primeiro grau;Visualizar a pasta digital do TJ do primeiro grau;;;;;;;
319;CADASTRO;Processos de segundo grau;Último número para pesquisa;Informar o número do último cadastro;;;;;;;
320;CADASTRO;Processos de segundo grau;Quebra de texto no campo objeto da ação;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
321;CADASTRO;Processos de segundo grau;Limite do campo objeto da ação;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
322;CADASTRO;Processos de segundo grau;Barra de rolagem no campo objeto da ação;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
323;CADASTRO;Processos de segundo grau;Minimizar através do ícone;Minimizar tela;;;;;;;
324;CADASTRO;Processos de segundo grau;Restaurar janela minimizada;Maximizar tela;;;;;;;
325;CADASTRO;Processos de segundo grau;Fechar através do ícone;Fechar tela;;;;;;;
326;CADASTRO;Processos de segundo grau;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
327;CADASTRO;Processos de segundo grau;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
328;CADASTRO;Solicitação de apoio;Cadastrar;Registrar uma solicitação de apoio;;;;;;;
329;CADASTRO;Solicitação de apoio;Abrir cadastro;Abrir cadastro;;;;;;;
330;CADASTRO;Solicitação de apoio;Abrir pasta digital;Abrir pasta digital;;;;;;;
331;CADASTRO;Solicitação de apoio;Emitir documento;Emitir documento;;;;;;;
332;CADASTRO;Solicitação de apoio;Consulta básica;Consultar cadastro;;;;;;;
333;CADASTRO;Solicitação de apoio;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
334;CADASTRO;Solicitação de apoio;Copiar documento;Copiar documento;;;;;;;
335;CADASTRO;Solicitação de apoio;Enviar;Enviar ou retornar à origem;;;;;;;
336;CADASTRO;Solicitação de apoio;Verificar o nível de sigilo após o envio;Verificar se o nível de sigilo foi mantido após o envio;;;;;;;
337;CADASTRO;Solicitação de apoio;Gerar cópia;Gerar cópia de cadastro;;;;;;;
338;CADASTRO;Solicitação de apoio;Auditoria de acessos;Auditar acessos;;;;;;;
339;CADASTRO;Solicitação de apoio;Abas;Testar todas as abas, campo a campo;;;;;;;
340;CADASTRO;Solicitação de apoio;Último número para pesquisa;Informar o número do último cadastro;;;;;;;
341;CADASTRO;Solicitação de apoio;Minimizar através do ícone;Minimizar tela;;;;;;;
342;CADASTRO;Solicitação de apoio;Restaurar janela minimizada;Maximizar tela;;;;;;;
343;CADASTRO;Solicitação de apoio;Fechar através do ícone;Fechar tela;;;;;;;
344;CADASTRO;Solicitação de apoio;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
345;CADASTRO;Solicitação de apoio;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
346;CADASTRO;Movimentação na carreira;Cadastrar;Registrar uma movimentação na carreira;;;;;;;
347;CADASTRO;Movimentação na carreira;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
348;CADASTRO;Movimentação na carreira;Abrir cadastro;Abrir cadastro;;;;;;;
349;CADASTRO;Movimentação na carreira;Abrir pasta digital;Abrir pasta digital;;;;;;;
350;CADASTRO;Movimentação na carreira;Emitir documento;Emitir documento;;;;;;;
351;CADASTRO;Movimentação na carreira;Consulta básica;Consultar cadastro;;;;;;;
352;CADASTRO;Movimentação na carreira;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
353;CADASTRO;Movimentação na carreira;Redistribuir;Redistribuir;;;;;;;
354;CADASTRO;Movimentação na carreira;Abas;Testar todas as abas, campo a campo;;;;;;;
355;CADASTRO;Movimentação na carreira;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
356;CADASTRO;Movimentação na carreira;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
357;CADASTRO;Movimentação na carreira;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
358;CADASTRO;Movimentação na carreira;Minimizar através do ícone;Minimizar tela;;;;;;;
359;CADASTRO;Movimentação na carreira;Restaurar janela minimizada;Maximizar tela;;;;;;;
360;CADASTRO;Movimentação na carreira;Fechar através do ícone;Fechar tela;;;;;;;
361;CADASTRO;Movimentação na carreira;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
362;CADASTRO;Movimentação na carreira;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
363;CADASTRO;Edital na movimentação na carreira;Cadastrar;Registrar um edital;;;;;;;
364;CADASTRO;Edital na movimentação na carreira;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
365;CADASTRO;Edital na movimentação na carreira;Abrir cadastro;Abrir cadastro;;;;;;;
366;CADASTRO;Edital na movimentação na carreira;Abrir pasta digital;Abrir pasta digital;;;;;;;
367;CADASTRO;Edital na movimentação na carreira;Emitir documento;Emitir documento;;;;;;;
368;CADASTRO;Edital na movimentação na carreira;Consulta básica;Consultar cadastro;;;;;;;
369;CADASTRO;Edital na movimentação na carreira;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
370;CADASTRO;Edital na movimentação na carreira;Redistribuir;Redistribuir;;;;;;;
371;CADASTRO;Edital na movimentação na carreira;Abas;Testar todas as abas, campo a campo;;;;;;;
372;CADASTRO;Edital na movimentação na carreira;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
373;CADASTRO;Edital na movimentação na carreira;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
374;CADASTRO;Edital na movimentação na carreira;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
375;CADASTRO;Edital na movimentação na carreira;Minimizar através do ícone;Minimizar tela;;;;;;;
376;CADASTRO;Edital na movimentação na carreira;Restaurar janela minimizada;Maximizar tela;;;;;;;
377;CADASTRO;Edital na movimentação na carreira;Fechar através do ícone;Fechar tela;;;;;;;
378;CADASTRO;Edital na movimentação na carreira;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
379;CADASTRO;Edital na movimentação na carreira;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
380;CADASTRO;Processo de turma de recurso;Cadastrar;Registrar um processo de turma de recurso;;;;;;;
381;CADASTRO;Processo de turma de recurso;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
382;CADASTRO;Processo de turma de recurso;Abrir cadastro;Abrir cadastro;;;;;;;
383;CADASTRO;Processo de turma de recurso;Abrir pasta digital;Abrir pasta digital;;;;;;;
384;CADASTRO;Processo de turma de recurso;Emitir documento;Emitir documento;;;;;;;
385;CADASTRO;Processo de turma de recurso;Consulta básica;Consultar cadastro;;;;;;;
386;CADASTRO;Processo de turma de recurso;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
387;CADASTRO;Processo de turma de recurso;Redistribuir;Redistribuir;;;;;;;
388;CADASTRO;Processo de turma de recurso;Copiar cadastro;Copiar cadastro;;;;;;;
389;CADASTRO;Processo de turma de recurso;Copiar documento;Copiar documento;;;;;;;
390;CADASTRO;Processo de turma de recurso;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
391;CADASTRO;Processo de turma de recurso;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
392;CADASTRO;Processo de turma de recurso;Agenda;Abrir agenda;;;;;;;
393;CADASTRO;Processo de turma de recurso;Compromisso;Cadastrar compromisso;;;;;;;
394;CADASTRO;Processo de turma de recurso;Auditoria de acessos;Auditar acessos;;;;;;;
395;CADASTRO;Processo de turma de recurso;Abas;Testar todas as abas, campo a campo;;;;;;;
396;CADASTRO;Processo de turma de recurso;Quebra de texto no campo objeto;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
397;CADASTRO;Processo de turma de recurso;Limite do campo objeto;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
398;CADASTRO;Processo de turma de recurso;Barra de rolagem no campo objeto;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
399;CADASTRO;Processo de turma de recurso;Minimizar através do ícone;Minimizar tela;;;;;;;
400;CADASTRO;Processo de turma de recurso;Restaurar janela minimizada;Maximizar tela;;;;;;;
401;CADASTRO;Processo de turma de recurso;Fechar através do ícone;Fechar tela;;;;;;;
402;CADASTRO;Processo de turma de recurso;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
403;CADASTRO;Processo de turma de recurso;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
404;CADASTRO;Solicitação de acesso à informação;Cadastrar;Registrar uma solicitação de acesso à informação;;;;;;;
405;CADASTRO;Solicitação de acesso à informação;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
406;CADASTRO;Solicitação de acesso à informação;Abrir cadastro;Abrir cadastro;;;;;;;
407;CADASTRO;Solicitação de acesso à informação;Abrir pasta digital;Abrir pasta digital;;;;;;;
408;CADASTRO;Solicitação de acesso à informação;Emitir documento;Emitir documento;;;;;;;
409;CADASTRO;Solicitação de acesso à informação;Consulta básica;Consultar cadastro;;;;;;;
410;CADASTRO;Solicitação de acesso à informação;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
411;CADASTRO;Solicitação de acesso à informação;Redistribuir;Redistribuir;;;;;;;
412;CADASTRO;Solicitação de acesso à informação;Solicitação de Apoio;Gerar solicitação de apoio a partir do cadastro;;;;;;;
413;CADASTRO;Solicitação de acesso à informação;Imprimir etiqueta;Imprimir todas as opções de etiquetas;;;;;;;
414;CADASTRO;Solicitação de acesso à informação;Agenda;Abrir agenda;;;;;;;
415;CADASTRO;Solicitação de acesso à informação;Compromisso;Cadastrar compromisso;;;;;;;
416;CADASTRO;Solicitação de acesso à informação;Senha de acesso;Gerar senha para acesso ao cadastro via web;;;;;;;
417;CADASTRO;Solicitação de acesso à informação;Registrar recurso por omissão;Registrar recurso por omissão;;;;;;;
418;CADASTRO;Solicitação de acesso à informação;Registrar recurso por indeferimento;Registrar recurso por indeferimento e verificar se houve o registro de movimento;;;;;;;
419;CADASTRO;Solicitação de acesso à informação;Auditoria de acessos;Auditar acessos;;;;;;;
420;CADASTRO;Solicitação de acesso à informação;Abas;Testar todas as abas, campo a campo;;;;;;;
421;CADASTRO;Solicitação de acesso à informação;Quebra de texto no campo solicitação;Verificar se ao digitar até o fim da tela, o sistema quebra o texto;;;;;;;
422;CADASTRO;Solicitação de acesso à informação;Limite do campo solicitação;Digitar até 4000 caracteres e verificar se há bloqueio antes disso;;;;;;;
423;CADASTRO;Solicitação de acesso à informação;Barra de rolagem no campo solicitação;Verificar se é habilitado a barra de rolagem quando o campo é preenchido;;;;;;;
424;CADASTRO;Solicitação de acesso à informação;Minimizar através do ícone;Minimizar tela;;;;;;;
425;CADASTRO;Solicitação de acesso à informação;Restaurar janela minimizada;Maximizar tela;;;;;;;
426;CADASTRO;Solicitação de acesso à informação;Fechar através do ícone;Fechar tela;;;;;;;
427;CADASTRO;Solicitação de acesso à informação;Limpar;Utilizar o botão e verificar se os campos foram limpos;;;;;;;
428;CADASTRO;Solicitação de acesso à informação;Fechar;Utilizar o botão e verificar se a tela foi fechada;;;;;;;
429;CADASTRO;Recurso por omissão;Cadastrar;Registrar um recurso por omissão;;;;;;;
430;CADASTRO;Recurso por omissão;Cadastrar pessoa;Registrar uma pessoa;;;;;;;
431;CADASTRO;Recurso por omissão;Abrir cadastro;Abrir cadastro;;;;;;;
432;CADASTRO;Recurso por omissão;Abrir pasta digital;Abrir pasta digital;;;;;;;
433;CADASTRO;Recurso por omissão;Emitir documento;Emitir documento;;;;;;;
434;CADASTRO;Recurso por omissão;Consulta básica;Consultar cadastro;;;;;;;
435;CADASTRO;Recurso por omissão;Gerenciador de arquivos;Abrir o gerenciador de arquivos;;;;;;;
436;CADASTRO;Recurso por omissão;Redistribuir;Redistribuir;;;;;;;
